,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
57,4,1,1,1,2,1,4,0,2,1,0 GB,2,0,0,1,44900,3,1029,107
58,6,1,1,0,2,1,4,0,2,1,0 GB,2,3,0,0,38990,3,53,11
59,5,1,1,1,2,1,4,0,2,1,0 GB,2,3,0,0,44427,2,0,0
60,0,1,1,0,2,1,4,0,2,1,0 GB,0,0,0,0,35990,2,0,0
61,1,1,1,0,2,1,4,0,2,1,0 GB,0,0,0,1,40200,2,48,1
62,1,1,1,0,2,1,4,0,2,0,0 GB,0,3,0,0,40990,2,3,0
63,5,1,1,0,2,1,4,0,2,1,0 GB,2,0,0,0,42490,2,0,0
64,2,1,0,7,2,1,0,3,2,0,0 GB,0,3,0,0,23990,2,61,4
65,5,1,1,1,2,1,4,0,2,1,0 GB,0,3,1,0,71999,3,97,13
66,0,1,1,1,2,1,4,0,2,1,0 GB,0,0,0,0,39990,3,181,19
67,1,1,1,0,2,1,4,0,2,1,0 GB,0,0,0,1,41998,3,529,39
68,0,1,1,1,2,1,4,0,2,0,0 GB,0,3,0,0,41990,2,0,0
69,1,1,1,0,2,1,4,0,2,1,0 GB,0,1,0,1,39999,2,0,0
70,0,1,1,0,2,1,4,0,2,0,0 GB,0,3,0,0,39990,2,0,0
71,1,1,1,1,2,1,4,0,2,1,0 GB,0,3,0,0,39998,3,10,1
72,4,1,1,1,2,1,4,0,2,1,0 GB,2,0,0,1,42490,3,5205,561
73,1,1,1,0,2,1,4,0,2,0,0 GB,0,3,0,0,41990,2,3,0
74,0,1,1,1,2,1,4,0,2,0,0 GB,0,3,0,0,48490,2,0,0
75,4,1,1,1,2,1,4,0,2,1,0 GB,2,0,0,1,44376,3,1090,96
76,5,1,1,1,2,1,4,0,2,0,0 GB,0,3,0,0,43900,2,0,0
77,5,1,1,1,2,1,4,0,2,1,0 GB,0,0,0,0,46690,2,0,0
78,1,1,1,0,2,1,4,0,2,0,0 GB,0,3,0,0,40990,4,1,1
79,5,1,1,0,2,1,4,0,2,1,0 GB,2,0,0,0,39990,3,44,2
80,1,1,1,1,2,1,4,0,2,1,0 GB,2,3,0,0,43990,2,0,0
81,0,1,1,1,2,1,4,0,2,1,0 GB,2,0,0,0,36990,3,70,9
82,5,1,1,1,3,1,4,0,2,1,0 GB,0,0,0,0,48500,2,0,0
83,0,1,1,1,3,1,4,0,2,1,0 GB,0,3,0,0,48990,2,0,0
84,0,1,0,7,2,4,0,3,2,0,0 GB,0,3,0,0,23490,3,632,92
85,4,1,1,5,2,1,4,0,2,1,0 GB,0,0,1,1,54238,3,71,8
86,0,1,1,0,3,1,6,0,2,1,0 GB,0,0,0,0,37990,3,990,108
87,4,1,1,1,3,1,6,0,2,1,0 GB,2,0,0,1,42990,3,158,18
88,4,1,1,1,3,1,6,0,2,1,0 GB,2,0,0,1,42990,3,681,59
89,0,1,1,0,2,1,6,0,2,1,0 GB,0,0,0,0,35990,3,130,12
90,0,1,1,1,3,1,6,0,2,1,0 GB,0,0,0,0,42990,3,30,4
91,0,1,1,1,3,5,6,0,2,0,0 GB,0,0,1,1,51990,3,6,2
92,0,1,1,1,3,1,6,0,2,1,0 GB,0,0,0,0,48990,3,174,30
93,0,1,1,1,3,1,6,0,2,1,0 GB,0,0,0,0,42990,3,40,7
94,1,1,1,0,3,1,6,0,2,1,0 GB,2,0,0,0,38990,2,13,1
95,5,1,1,1,3,1,6,0,2,1,0 GB,2,3,0,0,45990,3,184,29
96,4,1,1,0,3,1,6,0,2,1,0 GB,2,0,0,1,42490,3,1296,126
97,4,1,1,1,3,1,6,0,2,1,0 GB,2,0,0,1,43970,3,571,56
98,0,1,1,0,2,1,6,0,2,1,0 GB,2,0,0,1,39990,3,2551,297
99,6,1,1,1,3,1,6,0,2,1,0 GB,2,3,0,0,48990,3,17,3
100,4,1,1,1,3,1,6,0,2,1,0 GB,0,0,0,1,54990,3,35,3
101,6,1,1,0,3,1,6,0,2,1,0 GB,2,3,0,0,40990,3,118,17
102,0,1,1,1,3,1,6,0,2,1,0 GB,2,0,0,1,41990,2,0,0
103,1,1,1,1,3,1,6,0,2,1,0 GB,2,0,1,0,54990,3,245,34
104,0,1,1,1,3,1,6,0,2,1,0 GB,0,0,0,1,44990,3,2058,305
105,4,1,1,1,3,1,6,0,2,1,0 GB,0,0,0,0,41250,3,117,11
106,4,1,1,1,3,1,6,0,2,1,0 GB,2,3,0,0,44990,2,0,0
107,0,1,1,1,3,1,6,0,2,1,0 GB,0,0,0,0,42990,3,74,11
108,5,1,1,1,3,1,6,0,2,1,0 GB,0,0,1,0,60790,3,10,1
109,4,1,1,1,3,1,6,0,2,1,0 GB,0,3,0,0,45650,3,39,4
110,5,1,1,0,3,1,6,0,2,1,0 GB,2,0,0,1,41990,2,29,7
111,5,1,1,0,3,1,6,0,2,1,0 GB,2,0,0,0,45490,3,43,4
112,0,1,1,1,3,1,6,0,2,1,0 GB,2,0,0,1,44990,2,0,0
113,1,1,1,1,3,1,6,0,2,1,0 GB,2,1,0,1,42990,3,984,99
114,4,1,1,1,2,1,6,0,2,1,0 GB,2,0,0,1,45490,3,523,66
115,4,1,1,0,2,1,6,0,2,0,0 GB,0,3,0,0,38799,3,30,1
116,4,1,1,1,2,1,6,0,2,1,0 GB,0,0,1,1,69267,2,0,0
117,0,1,1,1,2,1,6,0,2,1,0 GB,0,0,0,1,51649,2,0,0
118,4,1,1,1,2,1,6,0,2,1,0 GB,2,0,0,1,47990,3,1605,215
119,0,1,1,0,2,1,6,0,2,1,0 GB,0,0,0,0,40990,3,4008,519
120,0,1,1,0,2,1,6,0,2,1,0 GB,2,0,0,1,42990,3,1869,234
121,0,1,1,1,2,1,6,0,2,1,0 GB,0,0,0,0,44890,2,7,0
122,0,1,1,0,2,1,6,0,2,1,0 GB,0,0,0,0,41490,3,4008,519
123,4,1,1,1,2,1,6,0,2,0,0 GB,2,0,0,0,50990,2,0,0
