,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
59,5,1,1,1,2,1,4,0,2,1,0 GB,ThinNlight,No warranty,No,No,44427,3 stars,0,0
60,0,1,1,0,2,1,4,0,2,1,0 GB,Casual,1 year,No,No,35990,3 stars,0,0
61,1,1,1,0,2,1,4,0,2,1,0 GB,Casual,1 year,No,Yes,40200,3 stars,48,1
62,1,1,1,0,2,1,4,0,2,0,0 GB,Casual,No warranty,No,No,40990,3 stars,3,0
63,5,1,1,0,2,1,4,0,2,1,0 GB,ThinNlight,1 year,No,No,42490,3 stars,0,0
64,2,1,0,7,2,1,0,3,2,0,0 GB,Casual,No warranty,No,No,23990,3 stars,61,4
65,5,1,1,1,2,1,4,0,2,1,0 GB,Casual,No warranty,Yes,No,71999,4 stars,97,13
66,0,1,1,1,2,1,4,0,2,1,0 GB,Casual,1 year,No,No,39990,4 stars,181,19
67,1,1,1,0,2,1,4,0,2,1,0 GB,Casual,1 year,No,Yes,41998,4 stars,529,39
68,0,1,1,1,2,1,4,0,2,0,0 GB,Casual,No warranty,No,No,41990,3 stars,0,0
69,1,1,1,0,2,1,4,0,2,1,0 GB,Casual,2 years,No,Yes,39999,3 stars,0,0
70,0,1,1,0,2,1,4,0,2,0,0 GB,Casual,No warranty,No,No,39990,3 stars,0,0
71,1,1,1,1,2,1,4,0,2,1,0 GB,Casual,No warranty,No,No,39998,4 stars,10,1
72,4,1,1,1,2,1,4,0,2,1,0 GB,ThinNlight,1 year,No,Yes,42490,4 stars,5205,561
73,1,1,1,0,2,1,4,0,2,0,0 GB,Casual,No warranty,No,No,41990,3 stars,3,0
74,0,1,1,1,2,1,4,0,2,0,0 GB,Casual,No warranty,No,No,48490,3 stars,0,0
75,4,1,1,1,2,1,4,0,2,1,0 GB,ThinNlight,1 year,No,Yes,44376,4 stars,1090,96
76,5,1,1,1,2,1,4,0,2,0,0 GB,Casual,No warranty,No,No,43900,3 stars,0,0
77,5,1,1,1,2,1,4,0,2,1,0 GB,Casual,1 year,No,No,46690,3 stars,0,0
78,1,1,1,0,2,1,4,0,2,0,0 GB,Casual,No warranty,No,No,40990,5 stars,1,1
79,5,1,1,0,2,1,4,0,2,1,0 GB,ThinNlight,1 year,No,No,39990,4 stars,44,2
80,1,1,1,1,2,1,4,0,2,1,0 GB,ThinNlight,No warranty,No,No,43990,3 stars,0,0
81,0,1,1,1,2,1,4,0,2,1,0 GB,ThinNlight,1 year,No,No,36990,4 stars,70,9
82,5,1,1,1,3,1,4,0,2,1,0 GB,Casual,1 year,No,No,48500,3 stars,0,0
83,0,1,1,1,3,1,4,0,2,1,0 GB,Casual,No warranty,No,No,48990,3 stars,0,0
84,0,1,0,7,2,4,0,3,2,0,0 GB,Casual,No warranty,No,No,23490,4 stars,632,92
85,4,1,1,5,2,1,4,0,2,1,0 GB,Casual,1 year,Yes,Yes,54238,4 stars,71,8
86,0,1,1,0,3,1,6,0,2,1,0 GB,Casual,1 year,No,No,37990,4 stars,990,108
87,4,1,1,1,3,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,42990,4 stars,158,18
88,4,1,1,1,3,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,42990,4 stars,681,59
89,0,1,1,0,2,1,6,0,2,1,0 GB,Casual,1 year,No,No,35990,4 stars,130,12
90,0,1,1,1,3,1,6,0,2,1,0 GB,Casual,1 year,No,No,42990,4 stars,30,4
91,0,1,1,1,3,5,6,0,2,0,0 GB,Casual,1 year,Yes,Yes,51990,4 stars,6,2
92,0,1,1,1,3,1,6,0,2,1,0 GB,Casual,1 year,No,No,48990,4 stars,174,30
93,0,1,1,1,3,1,6,0,2,1,0 GB,Casual,1 year,No,No,42990,4 stars,40,7
94,1,1,1,0,3,1,6,0,2,1,0 GB,ThinNlight,1 year,No,No,38990,3 stars,13,1
95,5,1,1,1,3,1,6,0,2,1,0 GB,ThinNlight,No warranty,No,No,45990,4 stars,184,29
96,4,1,1,0,3,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,42490,4 stars,1296,126
97,4,1,1,1,3,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,43970,4 stars,571,56
98,0,1,1,0,2,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,39990,4 stars,2551,297
99,6,1,1,1,3,1,6,0,2,1,0 GB,ThinNlight,No warranty,No,No,48990,4 stars,17,3
100,4,1,1,1,3,1,6,0,2,1,0 GB,Casual,1 year,No,Yes,54990,4 stars,35,3
101,6,1,1,0,3,1,6,0,2,1,0 GB,ThinNlight,No warranty,No,No,40990,4 stars,118,17
102,0,1,1,1,3,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,41990,3 stars,0,0
103,1,1,1,1,3,1,6,0,2,1,0 GB,ThinNlight,1 year,Yes,No,54990,4 stars,245,34
104,0,1,1,1,3,1,6,0,2,1,0 GB,Casual,1 year,No,Yes,44990,4 stars,2058,305
105,4,1,1,1,3,1,6,0,2,1,0 GB,Casual,1 year,No,No,41250,4 stars,117,11
106,4,1,1,1,3,1,6,0,2,1,0 GB,ThinNlight,No warranty,No,No,44990,3 stars,0,0
107,0,1,1,1,3,1,6,0,2,1,0 GB,Casual,1 year,No,No,42990,4 stars,74,11
108,5,1,1,1,3,1,6,0,2,1,0 GB,Casual,1 year,Yes,No,60790,4 stars,10,1
109,4,1,1,1,3,1,6,0,2,1,0 GB,Casual,No warranty,No,No,45650,4 stars,39,4
110,5,1,1,0,3,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,41990,3 stars,29,7
111,5,1,1,0,3,1,6,0,2,1,0 GB,ThinNlight,1 year,No,No,45490,4 stars,43,4
112,0,1,1,1,3,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,44990,3 stars,0,0
113,1,1,1,1,3,1,6,0,2,1,0 GB,ThinNlight,2 years,No,Yes,42990,4 stars,984,99
114,4,1,1,1,2,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,45490,4 stars,523,66
115,4,1,1,0,2,1,6,0,2,0,0 GB,Casual,No warranty,No,No,38799,4 stars,30,1
116,4,1,1,1,2,1,6,0,2,1,0 GB,Casual,1 year,Yes,Yes,69267,3 stars,0,0
117,0,1,1,1,2,1,6,0,2,1,0 GB,Casual,1 year,No,Yes,51649,3 stars,0,0
118,4,1,1,1,2,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,47990,4 stars,1605,215
119,0,1,1,0,2,1,6,0,2,1,0 GB,Casual,1 year,No,No,40990,4 stars,4008,519
120,0,1,1,0,2,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,42990,4 stars,1869,234
121,0,1,1,1,2,1,6,0,2,1,0 GB,Casual,1 year,No,No,44890,3 stars,7,0
122,0,1,1,0,2,1,6,0,2,1,0 GB,Casual,1 year,No,No,41490,4 stars,4008,519
123,4,1,1,1,2,1,6,0,2,0,0 GB,ThinNlight,1 year,No,No,50990,3 stars,0,0
124,4,1,1,1,2,1,6,0,2,1,0 GB,ThinNlight,1 year,No,Yes,48900,4 stars,1278,135
126,5,1,1,0,2,1,6,0,2,1,0 GB,Casual,No warranty,No,No,41790,3 stars,0,0
127,1,1,1,1,2,1,6,0,2,1,0 GB,Casual,1 year,Yes,Yes,57999,3 stars,10,2
